mem_id,user_id,mem_type,mem_start_date,mem_end_date,reminder_sent
1,1,Monthly,2025-08-15,2025-09-16,0
2,2,Monthly,2025-07-29,2025-08-29,0
3,3,Monthly,2025-07-30,2025-08-30,0
4,4,Monthly,2025-07-29,2025-08-29,0
5,5,Monthly,2025-08-22,2025-09-22,0
6,6,Monthly,2025-07-30,2025-08-30,0
7,7,Monthly,2025-07-21,2025-08-21,0
8,8,Monthly,2025-08-19,2025-09-19,0
9,9,Monthly,2025-07-14,2025-08-14,0
10,10,Monthly,2025-07-31,2026-07-31,0
11,11,Monthly,2025-08-09,2025-09-09,0
12,12,Monthly,2025-07-30,2025-08-30,0
13,13,Monthly,2025-07-11,2025-08-11,0
14,14,Monthly,2025-07-14,2025-08-14,0
15,15,Monthly,2025-07-28,2025-08-30,0
16,16,Monthly,2025-07-30,2025-08-30,0
17,17,Monthly,2025-07-21,2025-08-21,0
18,18,Monthly,2025-07-28,2025-08-30,0
19,19,Monthly,2025-07-28,2025-07-30,0
20,20,Monthly,2025-07-23,2025-08-30,0
21,21,Monthly,2025-08-01,2025-09-01,0
22,22,Monthly,2025-07-29,2025-08-30,0
23,23,Monthly,2025-08-25,2025-09-25,0
24,24,Monthly,2025-08-07,2025-09-12,0
25,25,Monthly,2025-08-01,2025-09-01,0
26,26,Monthly,2025-07-13,2025-09-13,0
27,27,Monthly,2025-07-07,2025-08-07,0
28,28,Monthly,2025-08-29,2025-09-29,0
29,29,Monthly,2025-08-25,2025-09-30,0
30,30,Monthly,2025-08-09,2025-09-09,0
31,31,Monthly,2025-08-04,2025-09-04,0
32,32,Monthly,2025-08-28,2025-09-28,0
33,33,Monthly,2025-08-03,2025-09-03,0
34,34,Monthly,2025-08-02,2025-09-02,0
35,35,Monthly,2025-08-03,2025-09-03,0
36,36,Monthly,2025-08-18,2025-09-18,0
37,37,Monthly,2025-08-20,2025-09-20,0
38,38,Monthly,2025-01-01,2033-01-01,0
39,153,Walk-in,0000-00-00,0000-00-00,0
